series_name,Episode,series_ep,season,season_ep,url,UserRating,UserVotes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Game of Thrones,The Climb,26,3,6,http://www.imdb.com/title/tt2178812/?ref_=ttep_ep6,8.8,23222,0.02743088450607183,0.0019808801998105244,0.0019808801998105244,0.003014382912755146,0.006976143312376195,0.016062354663680993,0.05348376539488416,0.1761691499440186,0.2442080785462062,0.4686934803203858
Game of Thrones,The Bear and the Maiden Fair,27,3,7,http://www.imdb.com/title/tt2178814/?ref_=ttep_ep7,8.7,22462,0.028448045588104355,0.002582138723176921,0.002225981657911139,0.002938295788442703,0.007479298370581426,0.015448312705903303,0.06441990917994836,0.20100614370937583,0.23751224289911851,0.43793963137743747
Game of Thrones,Second Sons,28,3,8,http://www.imdb.com/title/tt2178806/?ref_=ttep_ep8,9.0,23033,0.027221812182520733,0.0017366387357270004,0.0013893109885816004,0.0026483740719836757,0.0052967481439673515,0.009638344983284853,0.038509963964746236,0.14183996874050275,0.27595189510702034,0.4957669430816654
Game of Thrones,The Rains of Castamere,29,3,9,http://www.imdb.com/title/tt2178784/?ref_=ttep_ep9,9.9,87436,0.021833112219223204,0.0012351891669335285,9.263918752001464e-4,7.548378242371563e-4,0.0016926666361681687,0.0019099684340546227,0.004643396312731598,0.01310672949357244,0.06020403495127865,0.8936936730866005
Game of Thrones,Mhysa,30,3,10,http://www.imdb.com/title/tt2178796/?ref_=ttep_ep10,9.2,26061,0.027474003299950117,0.0018802041364491002,0.0021871762403591574,0.0026860059092130005,0.005717355435324815,0.009669621273166801,0.03269252906642109,0.11231341851809216,0.26123326042745865,0.5441464256935651
Game of Thrones,Two Swords,31,4,1,http://www.imdb.com/title/tt2816136/?ref_=ttep_ep1,9.1,29533,0.025801645616767684,0.0013882775200623032,0.0017268817932482308,0.0023363694849829007,0.0051129245251075066,0.009142315376020045,0.03494396099278773,0.12138963193715505,0.2727457420512647,0.5254122507026039
Game of Thrones,The Lion and the Rose,32,4,2,http://www.imdb.com/title/tt2832378/?ref_=ttep_ep2,9.7,46172,0.01992549597158451,8.230096162176211e-4,0.0011045655375552283,0.0010395910941696266,0.002425712553062462,0.00311877328250888,0.009811140951225851,0.03411158277744087,0.13211470155072338,0.7955254266655115
Game of Thrones,Breaker of Chains,33,4,3,http://www.imdb.com/title/tt2972426/?ref_=ttep_ep3,8.9,24938,0.026946828133771753,0.0015237789718501884,0.0018846739914989174,0.0030074584970727404,0.007097602053091667,0.012791723474216057,0.049202021012110034,0.17170583045953966,0.2693880824444623,0.4564520009623867
Game of Thrones,Oathkeeper,34,4,4,http://www.imdb.com/title/tt2972428/?ref_=ttep_ep4,8.8,23964,0.02741612418627942,0.001627441161742614,0.0019195459856451345,0.002587214154565181,0.007803371724253046,0.01614922383575363,0.053204807210816225,0.17918544483391755,0.25959772992822566,0.45050909697880154
Game of Thrones,First of His Name,35,4,5,http://www.imdb.com/title/tt3060856/?ref_=ttep_ep5,8.7,23198,0.027502370894042588,0.001379429261143202,0.0018967152340719027,0.003448573152858005,0.007845503922751962,0.016078972325200447,0.06013449435296146,0.20372445900508665,0.24325372876972154,0.4347357530821623
Game of Thrones,The Laws of Gods and Men,36,4,6,http://www.imdb.com/title/tt3060910/?ref_=ttep_ep6,9.7,42637,0.02066280460632784,7.739756549475807e-4,0.001055421347655792,0.0010085137322044233,0.0020639350798602155,0.0030489950043389546,0.009475338321176443,0.03346858362455145,0.1268381921805005,0.8016042404484368
Game of Thrones,Mockingbird,37,4,7,http://www.imdb.com/title/tt3060876/?ref_=ttep_ep7,9.1,25819,0.025562570200240133,0.0014717843448623107,0.001587977845772493,0.002207676517293466,0.004686471203377358,0.008094813896742709,0.030597621906348037,0.11805259692474535,0.26193888221852124,0.5457996049420969
Game of Thrones,The Mountain and the Viper,38,4,8,http://www.imdb.com/title/tt3060782/?ref_=ttep_ep8,9.7,46273,0.021999870334752446,0.0014911503468545372,0.0014695394722624424,0.001080543729604737,0.002852635446156506,0.0037386813044323905,0.010157111058284528,0.033626520865299415,0.13167505888963327,0.7919088885527197
Game of Thrones,The Watchers on the Wall,39,4,9,http://www.imdb.com/title/tt3060858/?ref_=ttep_ep9,9.6,38998,0.021770347197292168,0.0013846863941740601,0.001615467459869737,0.002359095338222473,0.004359197907585004,0.0058464536642904765,0.017000871839581516,0.04631006718293246,0.14990512333965844,0.7494486896763937
Game of Thrones,The Children,40,4,10,http://www.imdb.com/title/tt3060860/?ref_=ttep_ep10,9.7,38312,0.022551680935477134,0.0012267696805178534,0.0014355815410315306,0.0014616830235957402,0.0029755690123199,0.004515556483608269,0.013207350177490081,0.04069221131760284,0.1390425976195448,0.7728910002088119
Game of Thrones,The Wars to Come,41,5,1,http://www.imdb.com/title/tt3658012/?ref_=ttep_ep1,8.5,26289,0.03199056639659173,0.003347407660998897,0.004336414469930389,0.0049069953212370196,0.012704933622427632,0.026589067670888963,0.08551105024915363,0.24196431967743162,0.20750123625851116,0.38114800867282894
Game of Thrones,The House of Black and White,42,5,2,http://www.imdb.com/title/tt3846626/?ref_=ttep_ep2,8.5,23226,0.0321191767846379,0.0030138637733574444,0.0039180229053646775,0.004822182037371911,0.01248600706105227,0.02660811159907001,0.08288125376732972,0.23753552053732885,0.20666494445879618,0.389950917075691
Game of Thrones,High Sparrow,43,5,3,http://www.imdb.com/title/tt3866836/?ref_=ttep_ep3,8.5,22499,0.03333481488066136,0.0026223387706120274,0.004533534823769945,0.00466687408329259,0.011422729899106627,0.024801102271212055,0.08284812658340371,0.23307702564558425,0.21156495844259746,0.39112849459976
Game of Thrones,Sons of the Harpy,44,5,4,http://www.imdb.com/title/tt3866838/?ref_=ttep_ep4,8.7,23098,0.032773400294397785,0.003160446791930037,0.0042860853753571735,0.005714780500476232,0.011905792709325482,0.024374404710364533,0.06541691921378474,0.18248333189020693,0.25396138193783013,0.41592345657632696
Game of Thrones,Kill the Boy,45,5,5,http://www.imdb.com/title/tt3866840/?ref_=ttep_ep5,8.6,23382,0.03181934821657685,0.0026088444102300916,0.003378667350953725,0.0047044735266444275,0.01150457616970319,0.0247198699854589,0.06932683260627834,0.202377897528013,0.23449662133264904,0.4150628688734924
Game of Thrones,"Unbowed, Unbent, Unbroken",46,5,6,http://www.imdb.com/title/tt3866842/?ref_=ttep_ep6,8.0,26473,0.06485853511124542,0.009254712348430477,0.010425716768027803,0.0161674158576663,0.03131492464019945,0.052128583840139006,0.12631737997204698,0.21588033090318437,0.1317191100366411,0.34193329052241905
Game of Thrones,The Gift,47,5,7,http://www.imdb.com/title/tt3866846/?ref_=ttep_ep7,9.0,25534,0.02902013002271481,0.0019973368841544607,0.0025456254405890185,0.003838019895041905,0.008615963029685909,0.013472233100963422,0.042374872718727974,0.14047936085219706,0.2724994125479753,0.4851570455079502
Game of Thrones,Hardhome,48,5,8,http://www.imdb.com/title/tt3866850/?ref_=ttep_ep8,9.9,87562,0.01615997807267993,0.0010963660035175076,7.765925858249012e-4,7.880130650282086e-4,0.0017930152349192572,0.0021356296110184784,0.006463991229071972,0.018912313560677005,0.07124094927023138,0.8806331513670314
Game of Thrones,The Dance of Dragons,49,5,9,http://www.imdb.com/title/tt3866826/?ref_=ttep_ep9,9.5,38374,0.029447021420753634,0.002475634544222651,0.0032313545629853546,0.003439829050919894,0.006202116016052536,0.008234742273414291,0.0208474487934539,0.06001459321415542,0.19429822275499037,0.671809037369052
Game of Thrones,Mother's Mercy,50,5,10,http://www.imdb.com/title/tt3866862/?ref_=ttep_ep10,9.1,37206,0.06950491856152234,0.006235553405364726,0.005267967532118475,0.007418158361554588,0.013492447454711606,0.016556469386658067,0.03327420308552384,0.07899263559640918,0.2191850776756437,0.5500725689404935
Game of Thrones,The Red Woman,51,6,1,http://www.imdb.com/title/tt3658014/?ref_=ttep_ep1,8.5,36104,0.029415023266120097,0.0036007090627077332,0.004902503877686683,0.007146022601373809,0.014707511633060048,0.03085530689120319,0.08558608464436074,0.23709284289829383,0.23753600709062708,0.3491579880345668
Game of Thrones,Home,52,6,2,http://www.imdb.com/title/tt4077554/?ref_=ttep_ep2,9.4,42460,0.02103155911446067,0.00209609043805935,0.0024022609514837492,0.0026142251530852567,0.0052991050400376825,0.00909090909090909,0.023881300047103156,0.07244465379180405,0.19215732454074422,0.6689825718323128
Game of Thrones,Oathbreaker,53,6,3,http://www.imdb.com/title/tt4131606/?ref_=ttep_ep3,8.7,30307,0.025142706305473984,0.0025076714950341503,0.0028046325931303,0.003992476985514897,0.009601742171775498,0.019830402217309532,0.06378064473553964,0.1911439601412215,0.28085920744382487,0.4003365559111756
Game of Thrones,Book of the Stranger,54,6,4,http://www.imdb.com/title/tt4283016/?ref_=ttep_ep4,9.1,32611,0.02355033577627181,0.0024838244764036673,0.0019011989819386096,0.003495752966790347,0.007175492931832817,0.011683174389009843,0.0358468001594554,0.11302934592622121,0.26110821501947196,0.5397258593726043
Game of Thrones,The Door,55,6,5,http://www.imdb.com/title/tt4283028/?ref_=ttep_ep5,9.7,63904,0.013301201802704056,0.0014553079619429143,0.0012049323985978968,0.0013457686529794691,0.0029888582874311466,0.004193790686029044,0.010500125187781673,0.032799198798197295,0.12532861792689035,0.8068821982974461
Game of Thrones,Blood of My Blood,56,6,6,http://www.imdb.com/title/tt4283054/?ref_=ttep_ep6,8.4,30115,0.03197741989042006,0.003752282915490619,0.005844263655985389,0.006973269134982567,0.017134318445957163,0.03476672754441308,0.09819027062925452,0.24824838120537937,0.2082350987879794,0.3448779677901378
Game of Thrones,The Broken Man,57,6,7,http://www.imdb.com/title/tt4283060/?ref_=ttep_ep7,8.6,29257,0.03154800560549612,0.0035547048569573095,0.004306661653621356,0.005400416994223604,0.013125064087226988,0.026250128174453977,0.07950234132002598,0.22285265064770823,0.25727176402228524,0.3561882626380012
Game of Thrones,No One,58,6,8,http://www.imdb.com/title/tt4283074/?ref_=ttep_ep8,8.4,33290,0.041033343346350254,0.007119255031541003,0.00907179333133073,0.012526284169420246,0.022018624211474918,0.039321117452688494,0.09155902673475518,0.21892460198257735,0.21438870531691198,0.34403724842294986
Game of Thrones,Battle of the Bastards,59,6,9,http://www.imdb.com/title/tt4283088/?ref_=ttep_ep9,9.9,185829,0.017150175699164286,0.0011408337772898741,8.018124189442983e-4,9.740137438182415e-4,0.001888833282211065,0.0026691205355461206,0.005305953322678377,0.012990437445178095,0.04314181317232509,0.9139370066028446
Game of Thrones,The Winds of Winter,60,6,10,http://www.imdb.com/title/tt4283094/?ref_=ttep_ep10,9.9,129335,0.016321954613986934,9.432868133142614e-4,8.118452081803069e-4,7.577221943016198e-4,0.0013762709243437584,0.0018865736266285228,0.004469014574554451,0.012231801136583292,0.047775157536629684,0.9134263733714771
Game of Thrones,Dragonstone,61,7,1,http://www.imdb.com/title/tt5654088/?ref_=ttep_ep1,8.6,46564,0.03309423589038742,0.004316639463963577,0.004595825100936346,0.006099132376943562,0.013680096211665665,0.02516965896400653,0.07477879907224465,0.20371961171720643,0.2787990722446525,0.3557469289579933
Game of Thrones,Stormborn,62,7,2,http://www.imdb.com/title/tt5655178/?ref_=ttep_ep2,8.9,40178,0.032555129672955346,0.004231171287769426,0.004206282044900194,0.004952959330977152,0.010428592762208174,0.019513166409477825,0.04995271043854846,0.14555229229926825,0.3119119916372144,0.4166957041166808
Game of Thrones,The Queen's Justice,63,7,3,http://www.imdb.com/title/tt5775840/?ref_=ttep_ep3,9.2,41878,0.03035006447299298,0.003390801853001576,0.0036534696021777546,0.00444147284970629,0.008190457997039017,0.012870719709632742,0.03142461435598644,0.09787955489755958,0.2689717751564067,0.5388270691054969
Game of Thrones,The Spoils of War,64,7,4,http://www.imdb.com/title/tt5775846/?ref_=ttep_ep4,9.8,79404,0.027630849831242758,0.0016246032945443553,0.0014231021107249005,0.0018135106543750944,0.00343811394891945,0.004130774268298826,0.009936527127096872,0.02795828925494937,0.09811848269608583,0.8239257468137625
Game of Thrones,Eastwatch,65,7,5,http://www.imdb.com/title/tt5775854/?ref_=ttep_ep5,8.8,39952,0.035717861433720466,0.004655586704044853,0.006557869443331999,0.00670804965959151,0.013516219463356027,0.02315278334000801,0.05541649979975971,0.1506557869443332,0.27663195835002,0.4269873848618342
Game of Thrones,Beyond the Wall,66,7,6,http://www.imdb.com/title/tt5775864/?ref_=ttep_ep6,9.0,58308,0.05344035123825204,0.010838992934074226,0.012090965219180901,0.013257185977910407,0.01876243397132469,0.026205666460863003,0.036924607258009196,0.05939150716882761,0.15021952390752555,0.6188687658640324
Game of Thrones,The Dragon and the Wolf,67,7,7,http://www.imdb.com/title/tt5775874/?ref_=ttep_ep7,9.4,57839,0.03596189422362074,0.005031207316862325,0.0051176541779767975,0.005895675928007054,0.010045125261501755,0.013641314683863828,0.025726585867667146,0.053199398329846645,0.14353636819447085,0.7018447760161829
Game of Thrones,Winterfell,68,8,1,http://www.imdb.com/title/tt5924366/?ref_=ttep_ep1,7.5,122457,0.11554259862645663,0.018071649640281896,0.018210473880627485,0.02174640894354753,0.040602007235192764,0.06388364895432683,0.12823276742040063,0.19512971900340528,0.15617727038878954,0.24240345590697143
